Source,TimeFinished," On a scale of 1 to 10, how reasonable do you think the public reaction is to COVID-19 now? (1 is under-reacting and 10 is overreacting)","On a scale of 1 to 10, how much do you trust the government to respond to COVID-19 effectively? (1 is strongly distrust and 10 is strongly trust)"," ""COVID-19 has led me to drastically change my daily routines and the way I spend my day."" How much do you agree or disagree with this statement?", How many WEEKS do you think it'll take before your daily life returns to normal (like before COVID-19)? ," How are you doing financially today, compared to a year ago?"," Over the past week, have you been continually worried or anxious about a number of events or activities in your daily life?","In the past 3 days, did you work from home (WFH)?"," In the past 48 hours, I... (check all that apply)",,,,,,,,,,, Is any of your loved ones at higher risk of COVID-19? (check all that apply),,,,,What is your gender?,What is your annual household income?,What year were you born?,What is the zip code (i.e. postcal code) of the place you currently live in?,What country do you currently live in?,What is your employment status?,What is your ethnicity?,What industry are you part of?
Pollfish2,2020-03-20 15:09:54,7,1,Strongly agree,40,Somewhat worse,Yes,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Female,prefer_not_to_say,2002,94536,USA,student,hispanic,construction
Pollfish2,2020-03-20 14:20:29,5,5,Strongly agree,8,Somewhat worse,No,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,,,No,,,,,Female,high_iii,1976,94403,USA,employed_for_wages,asian,manufacturing_computer_and_electronics
Pollfish2,2020-03-20 17:14:07,8,8,Agree,28,Somewhat worse,Yes,I worked from home for some days,,,Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,I don't know,,,"Yes, due to their age (60+)",Male,prefer_not_to_say,2001,94134,USA,other,asian,other
Pollfish2,2020-03-20 15:14:01,8,1,Strongly agree,24,Significantly worse,Yes,I worked from home for some days,,,,,,,,,,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,lower_i,1963,94114,USA,retired,white,construction
Pollfish2,2020-03-20 16:34:08,4,3,Strongly agree,10,Significantly better,Yes,"Yes, my employer/school gave an option to WFH",,,,,,,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Female,prefer_not_to_say,1995,94705,USA,employed_for_wages,asian,education
Pollfish2,2020-03-20 10:19:06,5,8,Neutral,4,About the same,No,"Yes, for other reasons",,,,,,,,,Maintained 3 feet distance between myself and other people outside of my household,,,No,,,,,Male,lower_i,1987,94603,USA,self_employed,black,other
Pollfish2,2020-03-20 11:53:51,7,9,Strongly agree,24,About the same,Yes,I worked from home for some days,,,Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,Ate at a restaurant,,I don't know,,,,Male,lower_i,1973,94110,USA,unable_to_work,white,other
Pollfish2,2020-03-20 16:28:38,5,8,Neutral,8,Somewhat better,No,"No, I'm not employed or in school",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,,Ate at a restaurant,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,high_iii,1971,94043,USA,homemaker,white,homemaker
Pollfish2,2020-03-20 14:20:52,6,3,Strongly agree,6,Somewhat better,Yes,"No, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,No,,,,,Female,high_iii,1985,94110,USA,employed_for_wages,white,other
Pollfish2,2020-03-20 10:50:07,1,1,Strongly agree,5,Somewhat better,Yes,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,lower_i,2000,95035,USA,employed_for_wages,asian,wholesale
