Datasource,Timestamp,How many WEEKS do you think it’ll take before your daily life returns to normal?,What year were you born?,What is your gender?,What is your ethnicity?,What is the zip code (i.e. postal code) of the place you currently live in?,What is your employment status?,Is any of your loved ones at higher risk of COVID-19? (check all that apply),"In the past 48 hours, I... (check all that apply)","On a scale of 1 to 10, how reasonable do you think the public reaction is to COVID-19 now? (1 is under-reacting and 10 is overreacting)","On a scale of 1 to 10, how much do you trust the government to respond to COVID-19 effectively? (1 is strongly distrust and 10 is strongly trust)","""COVID-19 has led me to drastically change my daily routines and the way I spend my day."" How much do you agree or disagree with this statement?","How are you doing financially today, compared to a year ago?",What industry are you part of?,What is your income?
Google2,3/18/20 18:42,54,1990,Female,Asian/Asian American,94103,Employed full-time,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",5+6,1+2,Strongly agree,About the same,"Computers (Hardware, software, internet), Researcher","Between $150,000 and $199,000"
Google2,3/18/20 19:09,36,1985,Male,Caucasian,94115,Employed full-time,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap",5+6,3+4,Strongly agree,Significantly worse,"Computers (Hardware, software, internet)","More than $200,000"
Google2,3/18/20 19:11,12,1959,Male,Caucasian,29673,Employed full-time,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Increased frequency of hand washing with soap",3+4,7+8,Agree,About the same,Aerospace/Aviation,"Between $75,000 and $99,999"
Google2,3/18/20 19:33,9,1990,Male,Caucasian,93063,Employed full-time,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Maintained 3 feet distance between myself and other people outside of my household, Rescheduled or canceled pre-arranged travel plans, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",3+4,5+6,Strongly disagree,Somewhat better,Engineering (except software engineering),"Between $150,000 and $199,000"
Google2,3/18/20 19:46,10,1981,Female,Caucasian,97206,Employed full-time,No,"Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",5+6,1+2,Agree,Somewhat worse,Non-profit,"More than $200,000"
Google2,3/18/20 20:11,20,1987,Male,Caucasian,10065,Employed full-time,"Yes, due to their age (60+)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap",5+6,7+8,Strongly agree,Somewhat worse,"Aerospace/Aviation, Agriculture/Forestry/Fishing, software engineering","More than $200,000"
Google2,3/18/20 21:04,16,1998,Male,Asian/Asian American,1545,Student,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",5+6,3+4,Strongly agree,Somewhat worse,"Computers (Hardware, software, internet)","Between $25,000 and $49,999"
Google2,3/18/20 21:47,12,1991,Male,Asian/Asian American,98004,Employed full-time,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Ate at a restaurant, Did not leave my home for non-critical needs",5+6,7+8,Disagree,Somewhat better,"Computers (Hardware, software, internet)","Between $150,000 and $199,000"
Google2,3/19/20 1:14,12,1993,Male,Asian/Asian American,94131,Employed full-time,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Did not leave my home for non-critical needs, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap",3+4,3+4,Strongly agree,Somewhat worse,Prefer not to say,"Between $125,000 and $149,999"
Google2,3/19/20 10:48,4,1988,Female,Asian/Asian American,10018,Self-employed,"Yes, due to their age (60+), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",5+6,5+6,Agree,About the same,Professional Services,"Less than $25,000"
Google2,3/19/20 11:12,12,1989,Male,Caucasian,10036,Not employed,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Increased frequency of hand washing with soap",5+6,3+4,Strongly agree,Significantly worse,Unemployed,Prefer not to say
